"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\Description.module.css", "CSS", 0, 10, 0, 0, 2, 12
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\File.js", "JavaScript", 51, 0, 0, 0, 7, 58
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\File.module.css", "CSS", 0, 9, 0, 0, 2, 11
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\FileItem.js", "JavaScript", 60, 0, 0, 0, 6, 66
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\FileItem.module.css", "CSS", 0, 21, 0, 0, 4, 25
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\Section.js", "JavaScript", 74, 0, 0, 0, 7, 81
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\Section.module.css", "CSS", 0, 24, 0, 0, 4, 28
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\Assignment.js", "JavaScript", 77, 0, 0, 0, 8, 85
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\Content.module.css", "CSS", 0, 56, 0, 0, 9, 65
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\CourseDetails.js", "JavaScript", 365, 0, 0, 0, 25, 390
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\CourseDetails.module.css", "CSS", 0, 124, 0, 0, 23, 147
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\Exam.js", "JavaScript", 79, 0, 0, 0, 7, 86
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\Lesson.js", "JavaScript", 59, 0, 0, 0, 8, 67
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\MyCourse.js", "JavaScript", 53, 0, 0, 0, 7, 60
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\MyCourse.module.css", "CSS", 0, 49, 0, 0, 8, 57
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\MyCourses.js", "JavaScript", 125, 0, 0, 2, 11, 138
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Courses\MyCourses.module.css", "CSS", 0, 37, 0, 0, 8, 45
